constituency,eci_id,const_id
sirpur,1,1
chennur,2,2
bellampally,3,3
mancherial,4,4
asifabad,5,5
khanapur,6,6
adilabad,7,7
booth,8,8
nirmal,9,9
mudhole,10,10
armur,11,11
bodhan,12,12
jukkal,13,13
banswada,14,14
yellareddy,15,15
kamareddy,16,16
nizamabad(urban),17,17
nizamabad(rural),18,18
balkonda,19,19
koratla,20,20
jagtial,21,21
dharmapuri,22,22
ramagundam,23,23
manthani,24,24
peddapalle,25,25
karimnagar,26,26
choppadandi,27,27
vemulawada,28,28
sircilla,29,29
manakondur,30,30
huzurabad,31,31
husnabad,32,32
siddipet,33,33
medak,34,34
narayankhed,35,35
andole,36,36
narsapur,37,37
zahirabad,38,38
sangareddy,39,39
patancheru,40,40
dubbak,41,41
gajwel,42,42
medchal,43,43
malkajgiri,44,44
quthbullapur,45,45
kukatpalle,46,46
uppal,47,47
ibrahimpatnam,48,48
lal bahadur nagar,49,49
maheswaram,50,50
rajendranagar,51,51
serilingampally,52,52
chevella,53,53
pargi,54,54
vicarabad,55,55
tandur,56,56
musheerabad,57,57
malakpet,58,58
amberpet,59,59
khairatabad,60,60
jubilee hills,61,61
sanathnagar,62,62
nampally,63,63
karwan,64,64
goshamahal,65,65
charminar,66,66
chandrayangutta,67,67
yakutpura,68,68
bahadurpura,69,69
secunderabad,70,70
secunderabad cantt.,71,71
kodangal,72,72
narayanpet,73,73
mahbubnagar,74,74
jadcherla,75,75
devarkadra,76,76
makthal,77,77
wanaparthy,78,78
gadwal,79,79
alampur,80,80
nagarkurnool,81,81
Achampet,82,82
kalwakurthy,83,83
shadnagar,84,84
kollapur,85,85
devarakonda,86,86
nagarjuna sagar,87,87
miryalaguda,88,88
huzurnagar,89,89
kodad,90,90
suryapet,91,91
nalgonda,92,92
munugode,93,93
bhongir,94,94
nakrekal,95,95
thungathurthi,96,96
alair,97,97
jangoan,98,98
ghanpur(station),99,99
palakurthi,100,100
dornakal,101,101
mahabubabad,102,102
narsampet,103,103
parkal,104,104
warangal west,105,105
warangal east,106,106
waradhanapet,107,107
bhupalpalle,108,108
mulug,109,109
pinapaka,110,110
yellandu,111,111
khammam,112,112
palair,113,113
madhira,114,114
wyra,115,115
sathupalle,116,116
kothagudem,117,117
aswaraopeta,118,118
bhadrachalam,119,119
