name,eci_id,const_id
Baramulla,,101
Srinagar,,102
Anantnag,,103
Ladakh,,104
Udhampur,,105
Jammu,,106
Kangra,,201
Mandi,,202
Hamirpur,,203
Shimla,,204
Gurdaspur,,301
Amritsar,,302
Khadoor Sahib,,303
Jalandhar,,304
Hoshiarpur,,305
Anandpur Sahib,,306
Ludhiana,,307
Fatehgarh Sahib,,308
Faridkot,,309
Firozpur,,310
Bathinda,,311
Sangrur,,312
Patiala,,313
CHANDIGARH,,401
Tehri Garhwal,,501
Garhwal,,502
Almora,,503
Nainital-udhamsingh Nagar,,504
Haridwar,,505
Ambala,,601
Kurukshetra,,602
Sirsa,,603
Hisar,,604
Karnal,,605
Sonipat,,606
Rohtak,,607
Bhiwani-Mahendragarh,,608
Gurgaon,,609
Faridabad,,610
CHANDNI CHOWK,,701
NORTH EAST DELHI,,702
EAST DELHI,,703
NEW DELHI,,704
NORTH WEST DELHI,,705
WEST DELHI,,706
SOUTH DELHI,,707
Ganganagar,,801
Bikaner,,802
Churu,,803
Jhunjhunu,,804
Sikar,,805
Jaipur Rural,,806
Jaipur,,807
Alwar,,808
BHARATPUR,,809
KARAULI-DHOLPUR,,810
Dausa,,811
TONK-SAWAI MADHOPUR,,812
Ajmer,,813
Nagaur,,814
Pali,,815
Jodhpur,,816
Barmer,,817
Jalore,,818
Udaipur,,819
Banswara,,820
Chittorgarh,,821
Rajsamand,,822
Bhilwara,,823
Kota,,824
JHALAWAR-BARAN,,825
Saharanpur,,901
Kairana,,902
Muzaffarnagar,,903
Bijnor,,904
Nagina,,905
Moradabad,,906
Rampur,,907
Sambhal,,908
Amroha,,909
Meerut,,910
Baghpat,,911
Ghaziabad,,912
Gautam Buddha Nagar,,913
Bulandshahr,,914
Aligarh,,915
Hathras,,916
Mathura,,917
Agra,,918
Fatehpur Sikri,,919
Firozabad,,920
Mainpuri,,921
Etah,,922
Badaun,,923
Aonla,,924
Bareilly,,925
Pilibhit,,926
Shahjahanpur,,927
Kheri,,928
Dhaurahra,,929
Sitapur,,930
Hardoi,,931
Misrikh,,932
Unnao,,933
Mohanlalganj,,934
Lucknow,,935
Rae Bareli,,936
Amethi,,937
Sultanpur,,938
Pratapgarh,,939
Farrukhabad,,940
Etawah,,941
Kannauj,,942
Kanpur,,943
Akbarpur,,944
Jalaun,,945
Jhansi,,946
Hamirpur,,947
Banda,,948
Fatehpur,,949
Kaushambi,,950
Phulpur,,951
Allahabad,,952
Barabanki,,953
Faizabad,,954
Ambedkar Nagar,,955
Bahraich,,956
Kaiserganj,,957
Shrawasti,,958
Gonda,,959
Domariyaganj,,960
Basti,,961
Sant Kabir Nagar,,962
Maharajganj,,963
Gorakhpur,,964
Kushi Nagar,,965
Deoria,,966
Bansgaon,,967
Lalganj,,968
Azamgarh,,969
Ghosi,,970
Salempur,,971
Ballia,,972
Jaunpur,,973
Machhlishahr,,974
Ghazipur,,975
Chandauli,,976
Varanasi,,977
Bhadohi,,978
Mirzapur,,979
Robertsganj,,980
Valmiki Nagar,,1001
Paschim Champaran,,1002
Purvi Champaran,,1003
Sheohar,,1004
Sitamarhi,,1005
Madhubani,,1006
Jhanjharpur,,1007
Supaul,,1008
Araria,,1009
Kishanganj,,1010
Katihar,,1011
Purnia,,1012
Madhepura,,1013
Darbhanga,,1014
Muzaffarpur,,1015
Vaishali,,1016
Gopalganj,,1017
Siwan,,1018
Maharajganj,,1019
Saran,,1020
Hajipur,,1021
Ujiarpur,,1022
Samastipur,,1023
Begusarai,,1024
Khagaria,,1025
Bhagalpur,,1026
Banka,,1027
Munger,,1028
Nalanda,,1029
Patna Sahib,,1030
Pataliputra,,1031
Arrah,,1032
Buxar,,1033
Sasaram,,1034
Karakat,,1035
Jahanabad,,1036
Aurangabad,,1037
Gaya,,1038
Nawada,,1039
Jamui,,1040
Sikkim,,1101
ARUNACHAL WEST,,1201
ARUNACHAL EAST,,1202
Nagaland,,1301
Inner manipur,,1401
Outer manipur,,1402
MIZORAM,,1501
Tripura West,,1601
Tripura East,,1602
Shillong,,1701
Tura,,1702
Karimganj,,1801
Silchar,,1802
Diphu,,1803
Dhubri,,1804
Kokrajhar,,1805
Barpeta,,1806
Guwahati,,1807
Darrang - Udalguri,,1808
Sonitpur,,1809
Nowgong,,1810
Kaziranga,,1811
Jorhat,,1812
Dibrugarh,,1813
Lakhimpur,,1814
Cooch behar,,1901
Alipurduars,,1902
Jalpaiguri,,1903
Darjeeling,,1904
Raiganj,,1905
Balurghat,,1906
Maldaha Uttar,,1907
Maldaha Dakshin,,1908
Jangipur,,1909
Baharampur,,1910
Murshidabad,,1911
Krishnanagar,,1912
Ranaghat,,1913
Bangaon,,1914
Barrackpore,,1915
Dum dum,,1916
Barasat,,1917
Basirhat,,1918
Jaynagar,,1919
Mathurapur,,1920
Diamond harbour,,1921
Jadavpur,,1922
Kolkata Dakshin,,1923
Kolkata Uttar,,1924
Howrah,,1925
Uluberia,,1926
Srerampur,,1927
Hooghly,,1928
Arambagh,,1929
Tamluk,,1930
Kanthi,,1931
Ghatal,,1932
Jhargram,,1933
Medinipur,,1934
Purulia,,1935
Bankura,,1936
Bishnupur,,1937
Bardhaman Purba,,1938
Bardhaman Durgapur,,1939
Asansol,,1940
Bolpur,,1941
Birbhum,,1942
Rajmahal,,2001
Dumka,,2002
Godda,,2003
Chatra,,2004
Kodarma,,2005
Giridih,,2006
Dhanbad,,2007
Ranchi,,2008
Jamshedpur,,2009
Singhbhum,,2010
Khunti,,2011
Lohardaga,,2012
Palamu,,2013
Hazaribagh,,2014
Bargarh,,2101
Sundargarh,,2102
Sambalpur,,2103
Keonjhar,,2104
Mayurbhanj,,2105
Balasore,,2106
Bhadrak,,2107
Jajpur,,2108
Dhenkanal,,2109
Bolangir,,2110
Kalahandi,,2111
Nabarangpur,,2112
Kandhamal,,2113
Cuttack,,2114
Kendrapara,,2115
Jagatsinghpur,,2116
Puri,,2117
Bhubaneswar,,2118
Aska,,2119
Berhampur,,2120
Koraput,,2121
SURGUJA,,2201
RAIGARH,,2202
JANJGIR-CHAMPA,,2203
KORBA,,2204
BILASPUR,,2205
RAJNANDGAON,,2206
DURG,,2207
RAIPUR,,2208
MAHASAMUND,,2209
BASTAR,,2210
KANKER,,2211
MORENA,,2301
BHIND,,2302
GWALIOR,,2303
GUNA,,2304
SAGAR,,2305
TIKAMGARH,,2306
DAMOH,,2307
KHAJURAHO,,2308
SATNA,,2309
REWA,,2310
SIDHI,,2311
SHAHDOL,,2312
JABALPUR,,2313
MANDLA,,2314
BALAGHAT,,2315
CHHINDWARA,,2316
HOSHANGABAD,,2317
VIDISHA,,2318
BHOPAL,,2319
RAJGARH,,2320
DEWAS,,2321
UJJAIN,,2322
MANDSOUR,,2323
RATLAM,,2324
DHAR,,2325
INDORE,,2326
KHARGONE,,2327
KHANDWA,,2328
BETUL,,2329
Kachchh,,2401
Banaskantha,,2402
Patan,,2403
Mahesana,,2404
Sabarkantha,,2405
Gandhinagar,,2406
Ahmedabad East,,2407
Ahmedabad West,,2408
Surendranagar,,2409
Rajkot,,2410
Porbandar,,2411
Jamnagar,,2412
Junagadh,,2413
Amreli,,2414
Bhavnagar,,2415
Anand,,2416
Kheda,,2417
Panchmahal,,2418
Dahod,,2419
Vadodara,,2420
Chhota Udaipur,,2421
Bharuch,,2422
Bardoli,,2423
Surat,,2424
Navsari,,2425
Valsad,,2426
Daman and diu,,2501
Dadra And Nagar Haveli,,2601
Nandurbar,,2701
Dhule,,2702
Jalgaon,,2703
Raver,,2704
Buldhana,,2705
Akola,,2706
Amravati,,2707
Wardha,,2708
Ramtek,,2709
Nagpur,,2710
Bhandara Gondiya,,2711
Gadchiroli-Chimur,,2712
Chandrapur,,2713
Yavatmal-Washim,,2714
Hingoli,,2715
Nanded,,2716
Parbhani,,2717
Jalna,,2718
Aurangabad,,2719
Dindori,,2720
Nashik,,2721
Palghar,,2722
Bhiwandi,,2723
Kalyan,,2724
Thane,,2725
Mumbai North,,2726
Mumbai North West,,2727
Mumbai North East,,2728
Mumbai North central,,2729
Mumbai South central,,2730
Mumbai South,,2731
Raigad,,2732
Maval,,2733
Pune,,2734
Baramati,,2735
Shirur,,2736
Ahmednagar,,2737
Shirdi,,2738
Beed,,2739
Osmanabad,,2740
Latur,,2741
Solapur,,2742
Madha,,2743
Sangli,,2744
Satara,,2745
Ratnagiri - Sindhudurg,,2746
Kolhapur,,2747
Hatkanangle,,2748
Adilabad,,2801
Peddapalle,,2802
Karimnagar,,2803
Nizamabad,,2804
Zahirabad,,2805
Medak,,2806
Malkajgiri,,2807
Secunderabad,,2808
Hyderabad,,2809
CHEVELLA,,2810
Mahabubnagar,,2811
Nagarkurnool,,2812
Nalgonda,,2813
Bhongir,,2814
Warangal,,2815
Mahabubabad,,2816
Khammam,,2817
Araku,,2818
Srikakulam,,2819
Vizianagaram,,2820
Visakhapatnam,,2821
Anakapalli,,2822
Kakinada,,2823
Amalapuram,,2824
Rajahmundry,,2825
Narsapuram,,2826
Eluru,,2827
Machilipatnam,,2828
Vijayawada,,2829
Guntur,,2830
Narasaraopet,,2831
Bapatla,,2832
Ongole,,2833
Nandyal,,2834
Kurnool,,2835
Anantapur,,2836
Hindupur,,2837
Kadapa,,2838
Nellore,,2839
Tirupati,,2840
Rajampet,,2841
Chittoor,,2842
Chikodi,,2901
Belagavi,,2902
Bagalkot,,2903
Bijapur,,2904
Gulbarga,,2905
Raichur,,2906
Bidar,,2907
Koppal,,2908
Bellary,,2909
Haveri,,2910
Dharwad,,2911
Uttara Kannada,,2912
Davangere,,2913
Shimoga,,2914
Udupi Chikmagalur,,2915
Haasan,,2916
Dakshina Kannada,,2917
Chitradurga,,2918
Tumkur,,2919
Mandya,,2920
Mysore,,2921
Chamarajanagar,,2922
Bangalore Rural,,2923
Bangalore North,,2924
Bangalore central,,2925
Bangalore South,,2926
Chikballapur,,2927
Kolar,,2928
North Goa,,3001
South Goa,,3002
Lakshadweep,,3101
Kasaragod,,3201
Kannur,,3202
Vadakara,,3203
Wayanad,,3204
Kozhikode,,3205
Malappuram,,3206
Ponnani,,3207
Palakkad,,3208
Alathur,,3209
Thrissur,,3210
Chalakudy,,3211
